Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:11,097",GET,/api/v1/orderservice/order/9bb0ac3e-b305-4929-84a9-2dfac9de3471,101.85524995904416,48
"2024-06-25 20:34:11,098",GET,/api/v1/orderservice/order,102.43470803834498,1354
"2024-06-25 20:34:11,098",GET,/api/v1/orderservice/order/9bb0ac3e-b305-4929-84a9-2dfac9de3471,102.0077500725165,48
"2024-06-25 20:34:11,101",GET,/api/v1/paymentservice/payment,105.06633308250457,365
"2024-06-25 20:34:11,101",GET,/api/v1/paymentservice/payment,105.41058296803385,365
"2024-06-25 20:34:11,108",PUT,/api/v1/userservice/users,104.39174994826317,243
"2024-06-25 20:34:11,116",GET,/api/v1/orderOtherService/orderOther,121.63316609803587,438
"2024-06-25 20:34:11,120",GET,/api/v1/adminorderservice/adminorder,143.95441696979105,1871
"2024-06-25 20:34:11,120",GET,/api/v1/orderOtherService/orderOther,125.49987505190074,438
"2024-06-25 20:34:11,121",GET,/api/v1/inside_pay_service/inside_payment/account,127.82579194754362,105
"2024-06-25 20:34:11,121",GET,/api/v1/inside_pay_service/inside_payment/account,128.16937500610948,105
"2024-06-25 20:34:11,122",GET,/api/v1/inside_pay_service/inside_payment/account,128.69191693607718,105
"2024-06-25 20:34:11,124",GET,/api/v1/adminorderservice/adminorder,148.98616692516953,1871
"2024-06-25 20:34:11,124",GET,/api/v1/adminorderservice/adminorder,148.7199169350788,1871
"2024-06-25 20:34:11,173",GET,/api/v1/admintravelservice/admintravel,192.88991601206362,6490
"2024-06-25 20:34:11,173",GET,/api/v1/admintravelservice/admintravel,193.3562500635162,6490
"2024-06-25 20:34:11,176",GET,/api/v1/admintravelservice/admintravel,196.1929580429569,6490
"2024-06-25 20:34:12,005",GET,/api/v1/cancelservice/welcome,26.218374958261847,31
"2024-06-25 20:34:12,011",GET,/api/v1/adminbasicservice/adminbasic/contacts,39.40633300226182,459
"2024-06-25 20:34:12,011",GET,/api/v1/adminbasicservice/adminbasic/contacts,39.00987503584474,459
"2024-06-25 20:34:12,011",GET,/api/v1/adminbasicservice/adminbasic/contacts,38.85008301585913,459
"2024-06-25 20:34:12,012",GET,/api/v1/configservice/configs,32.10966696497053,191
"2024-06-25 20:34:12,012",GET,/api/v1/adminbasicservice/adminbasic/prices,38.137416006065905,1685
"2024-06-25 20:34:12,012",GET,/api/v1/assuranceservice/assurances,34.0225420659408,63
"2024-06-25 20:34:12,012",GET,/api/v1/adminbasicservice/adminbasic/prices,38.05262502282858,1685
"2024-06-25 20:34:12,012",GET,/api/v1/adminbasicservice/adminbasic/prices,37.91025001555681,1685
"2024-06-25 20:34:12,012",GET,/api/v1/cancelservice/welcome,32.89000003132969,31
"2024-06-25 20:34:12,012",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,31.498124939389527,66
"2024-06-25 20:34:12,012",GET,/api/v1/assuranceservice/assurances,34.47758301626891,63
"2024-06-25 20:34:12,012",GET,/api/v1/assuranceservice/assurances,34.206666983664036,63
"2024-06-25 20:34:12,012",GET,/api/v1/contactservice/contacts,31.05454205069691,459
"2024-06-25 20:34:12,012",GET,/api/v1/basicservice/basic/beijing,34.151250030845404,74
"2024-06-25 20:34:12,012",GET,/api/v1/cancelservice/welcome,33.39858399704099,31
"2024-06-25 20:34:12,012",GET,/api/v1/basicservice/basic/shanghai,33.873499953188,74
"2024-06-25 20:34:12,012",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,31.491499976255,66
"2024-06-25 20:34:12,012",GET,/api/v1/configservice/configs,33.25341606978327,191
